County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	193	68	3.8	(60.5–75.4)
Mobile County, Alabama	239	68.1	3.3	(61.6–74.5)
Tuscaloosa County, Alabama	130	64.1	4.9	(54.4–73.7)
Maricopa County, Arizona	483	68.9	2.4	(64.1–73.6)
Pima County, Arizona	313	69.1	3	(63.2–74.9)
Pinal County, Arizona	186	68.7	4.1	(60.6–76.7)
Benton County, Arkansas	142	72.7	4.8	(63.2–82.1)
Pulaski County, Arkansas	213	71.2	3.9	(63.5–78.8)
Washington County, Arkansas	96	NA*	NA	NA
Alameda County, California	195	57.6	5	(47.8–67.4)
Contra Costa County, California	215	71.1	3.5	(64.2–77.9)
Los Angeles County, California	684	57.9	2.4	(53.1–62.6)
Orange County, California	406	68.2	3	(62.3–74.0)
Placer County, California	95	69	5.1	(59.0–78.9)
Riverside County, California	280	58.6	3.5	(51.7–65.4)
Sacramento County, California	230	74.3	3.4	(67.6–80.9)
San Bernardino County, California	228	59.8	4	(51.9–67.6)
San Diego County, California	494	62.2	2.7	(56.9–67.4)
San Francisco County, California	108	NA	NA	NA
San Mateo County, California	104	NA	NA	NA
Santa Clara County, California	249	70.3	4.4	(61.6–78.9)
Adams County, Colorado	181	78.5	3.3	(72.0–84.9)
Arapahoe County, Colorado	222	76.7	3.2	(70.4–82.9)
Denver County, Colorado	268	69.9	3.1	(63.8–75.9)
Douglas County, Colorado	101	87.8	3.5	(80.9–94.6)
El Paso County, Colorado	258	70.3	3.2	(64.0–76.5)
Jefferson County, Colorado	331	77.3	2.5	(72.4–82.2)
Larimer County, Colorado	163	73.6	3.6	(66.5–80.6)
Fairfield County, Connecticut	698	70.7	2.4	(65.9–75.4)
Hartford County, Connecticut	492	74.9	2.2	(70.5–79.2)
Middlesex County, Connecticut	95	NA	NA	NA
New Haven County, Connecticut	576	73.8	2.3	(69.2–78.3)
Tolland County, Connecticut	74	NA	NA	NA
Kent County, Delaware	386	64.5	2.7	(59.2–69.7)
New Castle County, Delaware	515	66.1	2.4	(61.3–70.8)
Sussex County, Delaware	524	68.4	2.4	(63.6–73.1)
District of Columbia, District of Columbia	1,201	60.8	1.7	(57.4–64.1)
Alachua County, Florida	169	56.6	4.6	(47.5–65.6)
Baker County, Florida	151	NA	NA	NA
Bay County, Florida	181	69.6	4.3	(61.1–78.0)
Brevard County, Florida	235	71	3.2	(64.7–77.2)
Broward County, Florida	190	57.4	4.4	(48.7–66.0)
Citrus County, Florida	274	71.6	3	(65.7–77.4)
Clay County, Florida	151	68.9	4.5	(60.0–77.7)
Collier County, Florida	316	74.1	2.7	(68.8–79.3)
Columbia County, Florida	179	59.2	4.9	(49.5–68.8)
DeSoto County, Florida	221	67.4	4.7	(58.1–76.6)
Duval County, Florida	164	60.4	4.4	(51.7–69.0)
Escambia County, Florida	181	62.2	4.1	(54.1–70.2)
Gadsden County, Florida	165	55	4.9	(45.3–64.6)
Gilchrist County, Florida	161	NA	NA	NA
Hardee County, Florida	211	66.8	3.6	(59.7–73.8)
Hernando County, Florida	221	60.4	3.7	(53.1–67.6)
Highlands County, Florida	294	68.7	3.2	(62.4–74.9)
Hillsborough County, Florida	169	64.3	4.1	(56.2–72.3)
Jefferson County, Florida	165	NA	NA	NA
Lake County, Florida	306	70.4	2.8	(64.9–75.8)
Lee County, Florida	258	72.7	3.1	(66.6–78.7)
Leon County, Florida	146	72.6	4.2	(64.3–80.8)
Manatee County, Florida	244	67	3.4	(60.3–73.6)
Marion County, Florida	315	67.2	3	(61.3–73.0)
Martin County, Florida	269	70.1	3.1	(64.0–76.1)
Miami-Dade County, Florida	173	49.3	4.7	(40.0–58.5)
Monroe County, Florida	212	66.5	3.7	(59.2–73.7)
Nassau County, Florida	198	66.5	4.6	(57.4–75.5)
Orange County, Florida	252	57.7	3.8	(50.2–65.1)
Osceola County, Florida	184	54.1	4.3	(45.6–62.5)
Palm Beach County, Florida	268	73.7	3	(67.8–79.5)
Pasco County, Florida	254	64.3	3.3	(57.8–70.7)
Pinellas County, Florida	225	66.5	3.4	(59.8–73.1)
Polk County, Florida	212	62.5	3.8	(55.0–69.9)
St. Johns County, Florida	209	70.1	3.5	(63.2–76.9)
St. Lucie County, Florida	220	66.1	3.5	(59.2–72.9)
Santa Rosa County, Florida	150	66.6	4.2	(58.3–74.8)
Sarasota County, Florida	352	69.4	2.8	(63.9–74.8)
Seminole County, Florida	144	61.6	5	(51.8–71.4)
Volusia County, Florida	406	74	2.4	(69.2–78.7)
Wakulla County, Florida	152	NA	NA	NA
Cobb County, Georgia	71	NA	NA	NA
DeKalb County, Georgia	88	NA	NA	NA
Fulton County, Georgia	82	NA	NA	NA
Gwinnett County, Georgia	51	NA	NA	NA
Hawaii County, Hawaii	446	65	2.7	(59.7–70.2)
Honolulu County, Hawaii	1,038	75.4	1.5	(72.4–78.3)
Kauai County, Hawaii	212	66.8	3.6	(59.7–73.8)
Maui County, Hawaii	463	64	2.9	(58.3–69.6)
Ada County, Idaho	274	65.2	3.1	(59.1–71.2)
Bonneville County, Idaho	159	62.8	4.3	(54.3–71.2)
Canyon County, Idaho	207	59.4	3.8	(51.9–66.8)
Kootenai County, Idaho	216	60.1	3.7	(52.8–67.3)
Nez Perce County, Idaho	147	59.1	4.5	(50.2–67.9)
Twin Falls County, Idaho	171	60.2	4.1	(52.1–68.2)
Cook County, Illinois	922	62.9	2.1	(58.7–67.0)
DuPage County, Illinois	72	NA	NA	NA
Allen County, Indiana	195	60.9	3.9	(53.2–68.5)
Lake County, Indiana	313	61.4	4.5	(52.5–70.2)
Marion County, Indiana	457	69.1	3.1	(63.0–75.1)
Linn County, Iowa	174	68.5	3.9	(60.8–76.1)
Polk County, Iowa	218	72.7	3.3	(66.2–79.1)
Johnson County, Kansas	398	76.4	2.3	(71.8–80.9)
Sedgwick County, Kansas	467	69.3	2.3	(64.7–73.8)
Shawnee County, Kansas	213	76.6	3	(70.7–82.4)
Wyandotte County, Kansas	217	56.6	3.9	(48.9–64.2)
Jefferson County, Kentucky	131	75.4	4.3	(66.9–83.8)
Caddo Parish, Louisiana	154	66.5	4.4	(57.8–75.1)
East Baton Rouge Parish, Louisiana	212	64.5	3.8	(57.0–71.9)
Jefferson Parish, Louisiana	197	65.2	4	(57.3–73.0)
Orleans Parish, Louisiana	122	61.5	5	(51.7–71.3)
St. Tammany Parish, Louisiana	93	NA	NA	NA
Androscoggin County, Maine	158	73.3	4.1	(65.2–81.3)
Cumberland County, Maine	444	75.5	2.3	(70.9–80.0)
Kennebec County, Maine	199	70.4	3.6	(63.3–77.4)
Penobscot County, Maine	195	73	3.4	(66.3–79.6)
Sagadahoc County, Maine	90	76.3	5.1	(66.3–86.2)
York County, Maine	307	69.7	2.9	(64.0–75.3)
Anne Arundel County, Maryland	148	67.5	4.3	(59.0–75.9)
Baltimore County, Maryland	297	69	3	(63.1–74.8)
Cecil County, Maryland	71	NA	NA	NA
Charles County, Maryland	68	NA	NA	NA
Frederick County, Maryland	134	71	4.4	(62.3–79.6)
Harford County, Maryland	66	NA	NA	NA
Howard County, Maryland	70	NA	NA	NA
Montgomery County, Maryland	277	76.9	3	(71.0–82.7)
Prince George´s County, Maryland	186	62.9	4.1	(54.8–70.9)
Queen Anne´s County, Maryland	84	NA	NA	NA
Washington County, Maryland	125	75.3	4.2	(67.0–83.5)
Baltimore city, Maryland	141	61.8	4.9	(52.1–71.4)
Bristol County, Massachusetts	817	66.5	3.1	(60.4–72.5)
Essex County, Massachusetts	589	71.9	2.9	(66.2–77.5)
Hampden County, Massachusetts	463	75.7	2.9	(70.0–81.3)
Hampshire County, Massachusetts	73	NA	NA	NA
Middlesex County, Massachusetts	746	75.6	2.1	(71.4–79.7)
Norfolk County, Massachusetts	255	75.7	3	(69.8–81.5)
Plymouth County, Massachusetts	207	73.8	3.4	(67.1–80.4)
Suffolk County, Massachusetts	445	66.8	3.1	(60.7–72.8)
Worcester County, Massachusetts	553	71	2.7	(65.7–76.2)
Kent County, Michigan	148	71.8	3.9	(64.1–79.4)
Macomb County, Michigan	196	69.2	3.6	(62.1–76.2)
Oakland County, Michigan	333	67.3	3	(61.4–73.1)
Wayne County, Michigan	675	63.8	2.3	(59.2–68.3)
Anoka County, Minnesota	76	NA	NA	NA
Dakota County, Minnesota	107	75.1	5	(65.3–84.9)
Hennepin County, Minnesota	472	76.3	2.9	(70.6–81.9)
Ramsey County, Minnesota	230	74.1	4.2	(65.8–82.3)
Washington County, Minnesota	60	NA	NA	NA
DeSoto County, Mississippi	146	73.3	4.1	(65.2–81.3)
Hinds County, Mississippi	116	72	4.7	(62.7–81.2)
Jackson County, Missouri	182	57.7	4.1	(49.6–65.7)
St. Louis County, Missouri	208	74.3	4	(66.4–82.1)
St. Louis city, Missouri	194	NA	NA	NA
Flathead County, Montana	221	63.7	3.6	(56.6–70.7)
Lewis and Clark County, Montana	184	65.8	3.6	(58.7–72.8)
Yellowstone County, Montana	191	69.1	3.7	(61.8–76.3)
Adams County, Nebraska	180	76.9	3.3	(70.4–83.3)
Dakota County, Nebraska	253	66.6	3.2	(60.3–72.8)
Douglas County, Nebraska	273	75.7	2.9	(70.0–81.3)
Hall County, Nebraska	235	75.7	3.1	(69.6–81.7)
Lancaster County, Nebraska	287	70.5	3	(64.6–76.3)
Lincoln County, Nebraska	211	67.3	3.8	(59.8–74.7)
Madison County, Nebraska	176	71.4	3.7	(64.1–78.6)
Sarpy County, Nebraska	150	73.2	4.5	(64.3–82.0)
Scotts Bluff County, Nebraska	324	68.2	3.3	(61.7–74.6)
Seward County, Nebraska	104	NA	NA	NA
Clark County, Nevada	410	59.4	2.8	(53.9–64.8)
Washoe County, Nevada	398	60	2.7	(54.7–65.2)
Grafton County, New Hampshire	175	69.7	3.9	(62.0–77.3)
Hillsborough County, New Hampshire	413	74.9	2.4	(70.1–79.6)
Merrimack County, New Hampshire	210	70.5	3.5	(63.6–77.3)
Rockingham County, New Hampshire	276	67.6	3	(61.7–73.4)
Strafford County, New Hampshire	178	73.4	3.7	(66.1–80.6)
Atlantic County, New Jersey	256	65.1	3.5	(58.2–71.9)
Bergen County, New Jersey	174	58.3	4.5	(49.4–67.1)
Burlington County, New Jersey	170	65.7	4.2	(57.4–73.9)
Camden County, New Jersey	151	63.5	4.4	(54.8–72.1)
Cape May County, New Jersey	196	67	3.6	(59.9–74.0)
Essex County, New Jersey	251	62.5	3.7	(55.2–69.7)
Gloucester County, New Jersey	143	66	4.8	(56.5–75.4)
Hudson County, New Jersey	232	50.5	3.9	(42.8–58.1)
Hunterdon County, New Jersey	115	NA	NA	NA
Mercer County, New Jersey	128	67.4	4.9	(57.7–77.0)
Middlesex County, New Jersey	156	69.2	4.3	(60.7–77.6)
Monmouth County, New Jersey	146	68.4	4.5	(59.5–77.2)
Morris County, New Jersey	168	69	4.2	(60.7–77.2)
Ocean County, New Jersey	207	73.1	3.5	(66.2–79.9)
Passaic County, New Jersey	142	72.5	4.2	(64.2–80.7)
Somerset County, New Jersey	133	70.9	4.5	(62.0–79.7)
Sussex County, New Jersey	113	NA	NA	NA
Union County, New Jersey	127	70.5	4.7	(61.2–79.7)
Warren County, New Jersey	150	68.3	4.4	(59.6–76.9)
Bernalillo County, New Mexico	412	75	2.3	(70.4–79.5)
Dona Ana County, New Mexico	200	72.9	3.4	(66.2–79.5)
Sandoval County, New Mexico	158	78.5	3.4	(71.8–85.1)
San Juan County, New Mexico	198	66.2	4.1	(58.1–74.2)
Santa Fe County, New Mexico	196	67.2	3.9	(59.5–74.8)
Valencia County, New Mexico	112	NA ‡	NA ‡	NA
Bronx County, New York	116	NA ‡	NA ‡	NA
Erie County, New York	176	68.2	3.9	(60.5–75.8)
Kings County, New York	224	64	3.8	(56.5–71.4)
Monroe County, New York	150	79.7	3.7	(72.4–86.9)
Nassau County, New York	171	72.7	3.8	(65.2–80.1)
New York County, New York	332	62.8	3.8	(55.3–70.2)
Queens County, New York	239	62.3	3.9	(54.6–69.9)
Suffolk County, New York	203	72.1	3.5	(65.2–78.9)
Westchester County, New York	117	68.4	4.9	(58.7–78.0)
Buncombe County, North Carolina	104	72.6	4.9	(62.9–82.2)
Cabarrus County, North Carolina	106	69.6	4.9	(59.9–79.2)
Catawba County, North Carolina	101	69.6	5.1	(59.6–79.5)
Durham County, North Carolina	168	72.5	3.8	(65.0–79.9)
Gaston County, North Carolina	88	NA ‡	NA ‡	NA
Guilford County, North Carolina	231	72.3	3.2	(66.0–78.5)
Johnston County, North Carolina	71	NA ‡	NA ‡	NA
Mecklenburg County, North Carolina	179	61.5	4.3	(53.0–69.9)
Orange County, North Carolina	74	NA ‡	NA ‡	NA
Randolph County, North Carolina	152	69.1	4.5	(60.2–77.9)
Union County, North Carolina	100	NA ‡	NA ‡	NA
Wake County, North Carolina	164	72.1	3.9	(64.4–79.7)
Burleigh County, North Dakota	169	66.5	3.8	(59.0–73.9)
Cass County, North Dakota	232	70	3.2	(63.7–76.2)
Ward County, North Dakota	139	62.9	4.5	(54.0–71.7)
Cuyahoga County, Ohio	221	66.5	3.5	(59.6–73.3)
Franklin County, Ohio	174	69.3	3.8	(61.8–76.7)
Hamilton County, Ohio	228	67.4	3.4	(60.7–74.0)
Lucas County, Ohio	212	55.3	3.8	(47.8–62.7)
Mahoning County, Ohio	254	54.2	3.7	(46.9–61.4)
Montgomery County, Ohio	255	63.5	3.4	(56.8–70.1)
Stark County, Ohio	228	61.6	3.6	(54.5–68.6)
Summit County, Ohio	230	65.6	3.5	(58.7–72.4)
