County	Sample Size	%	SE	(95% CI)
Jefferson County, Alabama	198	65.3	4	(57.4–73.1)
Mobile County, Alabama	234	71	3.2	(64.7–77.2)
Tuscaloosa County, Alabama	127	60.4	4.6	(51.3–69.4)
Maricopa County, Arizona	465	73.4	2.3	(68.8–77.9)
Pima County, Arizona	309	75.3	2.8	(69.8–80.7)
Pinal County, Arizona	174	70.7	3.9	(63.0–78.3)
Benton County, Arkansas	137	NA*	NA	NA
Pulaski County, Arkansas	206	71.6	4	(63.7–79.4)
Washington County, Arkansas	94	NA	NA	NA
Alameda County, California	190	50.8	5.1	(40.8–60.7)
Contra Costa County, California	211	68.6	4	(60.7–76.4)
Los Angeles County, California	664	57.4	2.4	(52.6–62.1)
Orange County, California	398	61.3	3.3	(54.8–67.7)
Placer County, California	93	74.4	4.8	(64.9–83.8)
Riverside County, California	276	62.9	3.5	(56.0–69.7)
Sacramento County, California	223	71.8	3.7	(64.5–79.0)
San Bernardino County, California	225	60.6	4	(52.7–68.4)
San Diego County, California	479	62.8	2.8	(57.3–68.2)
San Francisco County, California	102	NA	NA	NA
San Mateo County, California	96	NA	NA	NA
Santa Clara County, California	238	73	4.3	(64.5–81.4)
Adams County, Colorado	178	73.8	4.2	(65.5–82.0)
Arapahoe County, Colorado	209	77	3.4	(70.3–83.6)
Denver County, Colorado	258	77.9	2.9	(72.2–83.5)
Douglas County, Colorado	96	76.7	4.8	(67.2–86.1)
El Paso County, Colorado	254	73.3	2.9	(67.6–78.9)
Jefferson County, Colorado	314	74.3	2.8	(68.8–79.7)
Larimer County, Colorado	157	73.2	3.7	(65.9–80.4)
Fairfield County, Connecticut	665	66.2	2.6	(61.1–71.2)
Hartford County, Connecticut	472	72.2	2.3	(67.6–76.7)
Middlesex County, Connecticut	91	75.5	5.1	(65.5–85.4)
New Haven County, Connecticut	542	69.2	2.6	(64.1–74.2)
Tolland County, Connecticut	70	NA	NA	NA
Kent County, Delaware	379	71.2	2.6	(66.1–76.2)
New Castle County, Delaware	504	66.3	2.4	(61.5–71.0)
Sussex County, Delaware	510	73.6	2.3	(69.0–78.1)
District of Columbia, District of Columbia	1,139	64.6	1.8	(61.0–68.1)
Alachua County, Florida	167	65.8	4.3	(57.3–74.2)
Baker County, Florida	149	NA	NA	NA
Bay County, Florida	182	72.8	4	(64.9–80.6)
Brevard County, Florida	233	67.6	3.4	(60.9–74.2)
Broward County, Florida	180	61	4.2	(52.7–69.2)
Citrus County, Florida	265	73.6	3	(67.7–79.4)
Clay County, Florida	146	NA	NA	NA
Collier County, Florida	299	79.9	2.6	(74.8–84.9)
Columbia County, Florida	175	64.1	4.7	(54.8–73.3)
DeSoto County, Florida	217	76.1	3.4	(69.4–82.7)
Duval County, Florida	157	60.7	4.5	(51.8–69.5)
Escambia County, Florida	174	75.6	3.6	(68.5–82.6)
Gadsden County, Florida	159	69.9	4.4	(61.2–78.5)
Gilchrist County, Florida	153	NA	NA	NA
Hardee County, Florida	210	64.8	3.9	(57.1–72.4)
Hernando County, Florida	214	64.9	3.7	(57.6–72.1)
Highlands County, Florida	288	66.9	3.3	(60.4–73.3)
Hillsborough County, Florida	163	68.5	3.9	(60.8–76.1)
Jefferson County, Florida	159	NA	NA	NA
Lake County, Florida	300	71.9	2.8	(66.4–77.3)
Lee County, Florida	251	75	3.1	(68.9–81.0)
Leon County, Florida	143	72.6	4.2	(64.3–80.8)
Manatee County, Florida	235	74	3.2	(67.7–80.2)
Marion County, Florida	305	75.3	2.8	(69.8–80.7)
Martin County, Florida	255	75.2	2.9	(69.5–80.8)
Miami-Dade County, Florida	161	61.1	4.7	(51.8–70.3)
Monroe County, Florida	203	61.6	4	(53.7–69.4)
Nassau County, Florida	189	71.3	3.8	(63.8–78.7)
Orange County, Florida	238	59.7	3.9	(52.0–67.3)
Osceola County, Florida	180	61.9	4.3	(53.4–70.3)
Palm Beach County, Florida	258	74.4	3	(68.5–80.2)
Pasco County, Florida	244	68.7	3.5	(61.8–75.5)
Pinellas County, Florida	221	70.7	3.4	(64.0–77.3)
Polk County, Florida	203	67.5	3.7	(60.2–74.7)
St. Johns County, Florida	203	76.6	3.3	(70.1–83.0)
St. Lucie County, Florida	216	71.6	3.2	(65.3–77.8)
Santa Rosa County, Florida	143	64.5	4.4	(55.8–73.1)
Sarasota County, Florida	339	75.6	2.7	(70.3–80.8)
Seminole County, Florida	139	67.9	4.4	(59.2–76.5)
Volusia County, Florida	387	76.8	2.5	(71.9–81.7)
Wakulla County, Florida	145	NA	NA	NA
Cobb County, Georgia	70	NA	NA	NA
DeKalb County, Georgia	87	NA	NA	NA
Fulton County, Georgia	80	NA	NA	NA
Gwinnett County, Georgia	48	NA	NA	NA
Hawaii County, Hawaii	416	61.2	2.8	(55.7–66.6)
Honolulu County, Hawaii	967	66.3	1.8	(62.7–69.8)
Kauai County, Hawaii	199	66.4	3.7	(59.1–73.6)
Maui County, Hawaii	440	65.7	2.9	(60.0–71.3)
Ada County, Idaho	265	71.2	3	(65.3–77.0)
Bonneville County, Idaho	151	57.3	4.5	(48.4–66.1)
Canyon County, Idaho	207	72.1	3.3	(65.6–78.5)
Kootenai County, Idaho	209	62.2	3.7	(54.9–69.4)
Nez Perce County, Idaho	143	57.8	4.6	(48.7–66.8)
Twin Falls County, Idaho	166	75.4	3.7	(68.1–82.6)
Cook County, Illinois	904	61	2.1	(56.8–65.1)
DuPage County, Illinois	72	NA	NA	NA
Allen County, Indiana	186	69.7	3.8	(62.2–77.1)
Lake County, Indiana	299	64.1	4.3	(55.6–72.5)
Marion County, Indiana	433	76.1	2.8	(70.6–81.5)
Linn County, Iowa	167	69.9	3.8	(62.4–77.3)
Polk County, Iowa	210	70.7	3.5	(63.8–77.5)
Johnson County, Kansas	378	79.8	2.2	(75.4–84.1)
Sedgwick County, Kansas	458	67.3	2.3	(62.7–71.8)
