County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	382	64.1	3	(58.2-69.9)
Mobile County, Alabama	450	59.2	3	(53.3-65.0)
Tuscaloosa County, Alabama	260	62.9	3.4	(56.2-69.5)
Maricopa County, Arizona	855	64.6	2.1	(60.4-68.7)
Pima County, Arizona	512	71.1	2.5	(66.2-76.0)
Pinal County, Arizona	276	64.9	4.2	(56.6-73.1)
Benton County, Arkansas	229	67.8	4.3	(59.3-76.2)
Pulaski County, Arkansas	399	72.1	3.1	(66.0-78.1)
Washington County, Arkansas	201	55.4	4.9	(45.7-65.0)
Alameda County, California	398	63.8	3.3	(57.3-70.2)
Contra Costa County, California	407	73.8	2.9	(68.1-79.4)
Los Angeles County, California	1,305	56.3	1.8	(52.7-59.8)
Orange County, California	815	64.8	2.2	(60.4-69.1)
Placer County, California	158	74.1	4.2	(65.8-82.3)
Riverside County, California	504	59.2	2.7	(53.9-64.4)
Sacramento County, California	450	69.2	2.8	(63.7-74.6)
San Bernardino County, California	499	51.5	2.7	(46.2-56.7)
San Diego County, California	964	64.5	2	(60.5-68.4)
San Francisco County, California	208	65	3.9	(57.3-72.6)
San Mateo County, California	213	67.1	4.1	(59.0-75.1)
Santa Clara County, California	459	64.1	3.2	(57.8-70.3)
Adams County, Colorado	442	62.6	2.8	(57.1-68.0)
Arapahoe County, Colorado	507	69.1	2.5	(64.2-74.0)
Denver County, Colorado	523	64.5	2.5	(59.6-69.4)
Douglas County, Colorado	265	77.5	3	(71.6-83.3)
El Paso County, Colorado	582	65.4	2.3	(60.8-69.9)
Jefferson County, Colorado	725	69.9	2.1	(65.7-74.0)
Larimer County, Colorado	361	70.3	2.8	(64.8-75.7)
Fairfield County, Connecticut	1,330	74.7	1.8	(71.1-78.2)
Hartford County, Connecticut	979	78.2	1.7	(74.8-81.5)
Middlesex County, Connecticut	170	75.7	3.9	(68.0-83.3)
New Haven County, Connecticut	1,055	74.2	1.9	(70.4-77.9)
Tolland County, Connecticut	169	72.6	4	(64.7-80.4)
Kent County, Delaware	775	75.7	1.8	(72.1-79.2)
New Castle County, Delaware	1,091	73.2	1.6	(70.0-76.3)
Sussex County, Delaware	936	74.5	1.7	(71.1-77.8)
District of Columbia, District of Columbia	2,419	69.2	1.2	(66.8-71.5)
Alachua County, Florida	349	68.6	3.4	(61.9-75.2)
Baker County, Florida	322	75.9	3.6	(68.8-82.9)
Bay County, Florida	350	75.3	3.1	(69.2-81.3)
Brevard County, Florida	362	76.7	2.5	(71.8-81.6)
Broward County, Florida	348	64.9	3.3	(58.4-71.3)
Citrus County, Florida	418	69	2.7	(63.7-74.2)
Clay County, Florida	294	72.2	3.1	(66.1-78.2)
Collier County, Florida	421	72.1	3	(66.2-77.9)
Columbia County, Florida	358	66.4	3.3	(59.9-72.8)
DeSoto County, Florida	371	61.6	3.8	(54.1-69.0)
Duval County, Florida	341	67.2	3.3	(60.7-73.6)
Escambia County, Florida	348	72.3	3.1	(66.2-78.3)
Gadsden County, Florida	348	69.8	3.3	(63.3-76.2)
Gilchrist County, Florida	289	NA*	NA	NA
Hardee County, Florida	354	57.4	3.2	(51.1-63.6)
Hernando County, Florida	363	68.6	2.7	(63.3-73.8)
Highlands County, Florida	419	73	2.7	(67.7-78.2)
Hillsborough County, Florida	332	70.1	3.1	(64.0-76.1)
Jefferson County, Florida	342	68.3	5	(58.5-78.1)
Lake County, Florida	453	74.1	2.4	(69.3-78.8)
Lee County, Florida	378	73	2.7	(67.7-78.2)
Leon County, Florida	314	80.7	2.7	(75.4-85.9)
Manatee County, Florida	396	71.4	2.7	(66.1-76.6)
Marion County, Florida	443	68	2.8	(62.5-73.4)
Martin County, Florida	404	71.7	3.1	(65.6-77.7)
Miami-Dade County, Florida	309	71.4	3.4	(64.7-78.0)
Monroe County, Florida	385	58.5	3.4	(51.8-65.1)
Nassau County, Florida	348	67	3.3	(60.5-73.4)
Orange County, Florida	552	61.5	2.9	(55.8-67.1)
Osceola County, Florida	355	63.9	3.3	(57.4-70.3)
Palm Beach County, Florida	412	73.4	2.9	(67.7-79.0)
Pasco County, Florida	385	65.2	2.9	(59.5-70.8)
Pinellas County, Florida	374	67.4	2.9	(61.7-73.0)
Polk County, Florida	359	71.1	2.9	(65.4-76.7)
St. Johns County, Florida	353	79.9	2.5	(75.0-84.8)
St. Lucie County, Florida	347	69.6	2.8	(64.1-75.0)
Santa Rosa County, Florida	310	70.7	3.5	(63.8-77.5)
Sarasota County, Florida	492	69.3	2.6	(64.2-74.3)
Seminole County, Florida	305	68.8	3.3	(62.3-75.2)
Volusia County, Florida	657	71.8	2.4	(67.0-76.5)
Wakulla County, Florida	314	67.5	4.7	(58.2-76.7)
Cobb County, Georgia	156	70.1	4.9	(60.4-79.7)
DeKalb County, Georgia	197	68.8	4.2	(60.5-77.0)
Fulton County, Georgia	191	73	4.2	(64.7-81.2)
Gwinnett County, Georgia	133	73	4.4	(64.3-81.6)
Hawaii County, Hawaii	998	58.7	1.9	(54.9-62.4)
Honolulu County, Hawaii	1,910	61.8	1.4	(59.0-64.5)
Kauai County, Hawaii	461	63.1	2.7	(57.8-68.3)
Maui County, Hawaii	980	61.7	2.1	(57.5-65.8)
Ada County, Idaho	539	66.9	2.5	(62.0-71.8)
Bonneville County, Idaho	302	63.1	3.2	(56.8-69.3)
Canyon County, Idaho	371	55.7	3	(49.8-61.5)
Kootenai County, Idaho	414	66.5	2.6	(61.4-71.5)
Nez Perce County, Idaho	263	71.4	3.1	(65.3-77.4)
Twin Falls County, Idaho	305	53.4	3.4	(46.7-60.0)
Cook County, Illinois	1,796	60.1	1.6	(56.9-63.2)
DuPage County, Illinois	152	62.5	4.6	(53.4-71.5)
Allen County, Indiana	376	61.2	3.2	(54.9-67.4)
Lake County, Indiana	629	58.5	3.4	(51.8-65.1)
Marion County, Indiana	929	71.2	2.2	(66.8-75.5)
Linn County, Iowa	309	71.6	2.9	(65.9-77.2)
Polk County, Iowa	477	66.2	2.4	(61.4-70.9)
Johnson County, Kansas	873	72.9	1.8	(69.3-76.4)
Sedgwick County, Kansas	957	70.4	1.7	(67.0-73.7)
Shawnee County, Kansas	444	74.5	2.5	(69.6-79.4)
Wyandotte County, Kansas	412	58.7	3.1	(52.6-64.7)
Jefferson County, Kentucky	265	65.7	3.5	(58.8-72.5)
