County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	194	26.9	3.7	(19.6–34.1)
Mobile County, Alabama	239	24.1	3.1	(18.0–30.1)
Tuscaloosa County, Alabama	131	27.3	4.3	(18.8–35.7)
Maricopa County, Arizona	480	13.7	1.7	(10.3–17.0)
Pima County, Arizona	305	7.1	1.6	(3.9–10.2)
Pinal County, Arizona	177	22.3	3.8	(14.8–29.7)
Benton County, Arkansas	144	19.2	4.1	(11.1–27.2)
Pulaski County, Arkansas	207	14.9	2.8	(9.4–20.3)
Washington County, Arkansas	97	9.8	3.3	(3.3–16.2)
Alameda County, California	209	9.1	2.8	(3.6–14.5)
Contra Costa County, California	220	6.7	2	(2.7–10.6)
Los Angeles County, California	765	11.5	1.6	(8.3–14.6)
Orange County, California	432	8	1.8	(4.4–11.5)
Placer County, California	105	8.7	2.7	(3.4–13.9)
Riverside County, California	299	14.1	2.4	(9.3–18.8)
Sacramento County, California	252	11.7	2.6	(6.6–16.7)
San Bernardino County, California	247	15.2	2.7	(9.9–20.4)
San Diego County, California	516	8.3	1.6	(5.1–11.4)
San Francisco County, California	114	NA*	NA	NA
San Mateo County, California	116	NA	NA	NA
Santa Clara County, California	264	2.4	1	(0.4–4.3)
Adams County, Colorado	187	17.6	3.1	(11.5–23.6)
Arapahoe County, Colorado	223	7.9	2	(3.9–11.8)
Denver County, Colorado	272	13.2	2.3	(8.6–17.7)
Douglas County, Colorado	103	9.5	3.2	(3.2–15.7)
El Paso County, Colorado	264	12.7	2.1	(8.5–16.8)
Jefferson County, Colorado	332	10.3	1.9	(6.5–14.0)
Larimer County, Colorado	164	7	2.1	(2.8–11.1)
Fairfield County, Connecticut	680	6.9	1.2	(4.5–9.2)
Hartford County, Connecticut	478	8.4	1.3	(5.8–10.9)
Middlesex County, Connecticut	92	12	4.2	(3.7–20.2)
New Haven County, Connecticut	556	9.6	1.4	(6.8–12.3)
Tolland County, Connecticut	69	12.5	4.4	(3.8–21.1)
Kent County, Delaware	382	20	2.2	(15.6–24.3)
New Castle County, Delaware	503	13.2	1.7	(9.8–16.5)
Sussex County, Delaware	519	18.6	2	(14.6–22.5)
District of Columbia, District of Columbia	1,184	12.1	1.3	(9.5–14.6)
Alachua County, Florida	170	9.9	2.4	(5.1–14.6)
Baker County, Florida	151	22.9	4.6	(13.8–31.9)
Bay County, Florida	183	8.7	2.1	(4.5–12.8)
Brevard County, Florida	236	16.4	2.7	(11.1–21.6)
Broward County, Florida	196	10.7	2.4	(5.9–15.4)
Citrus County, Florida	275	23.9	3.1	(17.8–29.9)
Clay County, Florida	147	11.9	2.8	(6.4–17.3)
Collier County, Florida	314	7.4	1.5	(4.4–10.3)
Columbia County, Florida	179	19.7	3.5	(12.8–26.5)
DeSoto County, Florida	226	18.4	2.9	(12.7–24.0)
Duval County, Florida	164	18.2	3.6	(11.1–25.2)
Escambia County, Florida	176	10.7	2.3	(6.1–15.2)
Gadsden County, Florida	164	23.8	4.3	(15.3–32.2)
Gilchrist County, Florida	159	NA	NA	NA
Hardee County, Florida	205	14	2.7	(8.7–19.2)
Hernando County, Florida	223	19	2.9	(13.3–24.6)
Highlands County, Florida	293	17	2.5	(12.1–21.9)
Hillsborough County, Florida	175	14.5	3.1	(8.4–20.5)
Jefferson County, Florida	160	NA	NA	NA
Lake County, Florida	307	13.7	2.1	(9.5–17.8)
Lee County, Florida	261	12.4	2.3	(7.8–16.9)
Leon County, Florida	147	4.1	1.5	(1.1–7.0)
Manatee County, Florida	246	12.8	2.5	(7.9–17.7)
Marion County, Florida	312	18.6	2.6	(13.5–23.6)
Martin County, Florida	266	8	1.9	(4.2–11.7)
Miami-Dade County, Florida	175	12.4	3	(6.5–18.2)
Monroe County, Florida	204	8.2	1.8	(4.6–11.7)
Nassau County, Florida	197	22	4.6	(12.9–31.0)
Orange County, Florida	253	14.4	2.6	(9.3–19.4)
Osceola County, Florida	183	14.6	3.2	(8.3–20.8)
Palm Beach County, Florida	262	6	1.5	(3.0–8.9)
Pasco County, Florida	253	19.4	2.7	(14.1–24.6)
Pinellas County, Florida	222	16.3	2.8	(10.8–21.7)
Polk County, Florida	219	14.9	2.8	(9.4–20.3)
St. Johns County, Florida	208	9.4	2.3	(4.8–13.9)
St. Lucie County, Florida	224	13.5	2.5	(8.6–18.4)
Santa Rosa County, Florida	145	17.1	3.2	(10.8–23.3)
Sarasota County, Florida	352	10.7	1.8	(7.1–14.2)
Seminole County, Florida	146	8.5	2.4	(3.7–13.2)
Volusia County, Florida	400	15.2	2	(11.2–19.1)
Wakulla County, Florida	151	NA	NA	NA
Cobb County, Georgia	66	11.9	4.1	(3.8–19.9)
DeKalb County, Georgia	86	NA	NA	NA
Fulton County, Georgia	81	14.4	4.8	(4.9–23.8)
Gwinnett County, Georgia	52	NA	NA	NA
Hawaii County, Hawaii	440	7.6	1.5	(4.6–10.5)
Honolulu County, Hawaii	1,027	6.9	0.9	(5.1–8.6)
Kauai County, Hawaii	212	7.9	2.2	(3.5–12.2)
Maui County, Hawaii	454	6.1	1.3	(3.5–8.6)
Ada County, Idaho	278	6.6	1.6	(3.4–9.7)
Bonneville County, Idaho	156	11.4	2.8	(5.9–16.8)
Canyon County, Idaho	216	14.5	2.5	(9.6–19.4)
Kootenai County, Idaho	220	12.8	2.3	(8.2–17.3)
Nez Perce County, Idaho	147	17.6	3.6	(10.5–24.6)
Twin Falls County, Idaho	167	17.2	3.3	(10.7–23.6)
Cook County, Illinois	924	14.3	1.4	(11.5–17.0)
DuPage County, Illinois	72	16.1	3.6	(9.0–23.1)
Allen County, Indiana	197	16.7	3.1	(10.6–22.7)
Lake County, Indiana	314	18.9	3.3	(12.4–25.3)
Marion County, Indiana	454	23.9	2.7	(18.6–29.1)
Linn County, Iowa	176	13.2	2.7	(7.9–18.4)
Polk County, Iowa	218	11.6	2.2	(7.2–15.9)
Johnson County, Kansas	388	10.4	1.7	(7.0–13.7)
Sedgwick County, Kansas	462	13.8	1.7	(10.4–17.1)
Shawnee County, Kansas	202	15.9	2.5	(11.0–20.8)
Wyandotte County, Kansas	208	27.7	4	(19.8–35.5)
Jefferson County, Kentucky	132	17.5	3.7	(10.2–24.7)
Caddo Parish, Louisiana	152	21.5	4.1	(13.4–29.5)
East Baton Rouge Parish, Louisiana	205	23.5	3.6	(16.4–30.5)
