County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	592	80.1	2.4	(75.3–84.9)
Mobile County, Alabama	671	74.4	2.9	(68.8–80.0)
Tuscaloosa County, Alabama	431	72.5	3.5	(65.7–79.3)
Maricopa County, Arizona	1,291	66.5	2	(62.5–70.5)
Pima County, Arizona	690	62.9	3.1	(56.8–69.0)
Pinal County, Arizona	387	69.2	4.3	(60.7–77.7)
Benton County, Arkansas	360	62.3	4	(54.5–70.1)
Pulaski County, Arkansas	552	63.7	3.7	(56.4–71.0)
Washington County, Arkansas	295	55.1	4.6	(46.1–64.1)
Alameda County, California	756	67.5	2.2	(63.2–71.8)
Contra Costa County, California	629	67.5	2.7	(62.2–72.8)
Los Angeles County, California	2,608	65.8	1.3	(63.3–68.3)
Orange County, California	1,444	63.6	1.8	(60.1–67.1)
Placer County, California	254	64.5	4.1	(56.4–72.6)
Riverside County, California	931	62.1	2.3	(57.7–66.5)
Sacramento County, California	750	65.8	2.4	(61.2–70.4)
San Bernardino County, California	946	64	2.3	(59.5–68.5)
San Diego County, California	1,695	60.1	1.7	(56.8–63.4)
San Francisco County, California	386	66.6	3.2	(60.3–72.9)
San Mateo County, California	384	63.2	3.3	(56.8–69.6)
Santa Clara County, California	872	64.6	2.2	(60.2–69.0)
Adams County, Colorado	792	57	2.6	(51.9–62.1)
Arapahoe County, Colorado	858	64.2	2.3	(59.7–68.7)
Denver County, Colorado	860	57.9	2.4	(53.2–62.6)
Douglas County, Colorado	570	65.5	2.7	(60.3–70.7)
El Paso County, Colorado	1,013	64.4	2.1	(60.3–68.5)
Jefferson County, Colorado	1,151	59.7	2.1	(55.5–63.9)
Larimer County, Colorado	553	57	3.5	(50.1–63.9)
Fairfield County, Connecticut	2,161	68	1.8	(64.5–71.5)
Hartford County, Connecticut	1,492	73.3	1.8	(69.8–76.8)
Middlesex County, Connecticut	263	70.3	3.7	(63.1–77.5)
New Haven County, Connecticut	1,659	69.7	1.9	(65.9–73.5)
Tolland County, Connecticut	252	72.7	3.8	(65.3–80.1)
Kent County, Delaware	1,251	78.2	1.9	(74.4–82.0)
New Castle County, Delaware	1,738	73.8	1.6	(70.7–76.9)
Sussex County, Delaware	1,236	80.2	1.9	(76.4–84.0)
District of Columbia, District of Columbia	3,943	76.4	1.1	(74.2–78.6)
Alachua County, Florida	532	52.9	3.8	(45.5–60.3)
Baker County, Florida	506	69.7	4.2	(61.4–78.0)
Bay County, Florida	540	62.8	3.5	(56.0–69.6)
Brevard County, Florida	525	64.9	3	(59.0–70.8)
Broward County, Florida	523	66.9	3	(61.0–72.8)
Citrus County, Florida	532	72.9	2.9	(67.2–78.6)
Clay County, Florida	481	62.3	3.1	(56.3–68.3)
Collier County, Florida	518	70.8	3.2	(64.5–77.1)
Columbia County, Florida	564	66.1	3.3	(59.7–72.5)
DeSoto County, Florida	501	60.2	4.3	(51.7–68.7)
Duval County, Florida	549	72.7	2.8	(67.2–78.2)
Escambia County, Florida	516	63.7	3.4	(57.0–70.4)
Gadsden County, Florida	509	75	3	(69.1–80.9)
Gilchrist County, Florida	415	NA*	NA	NA
Hardee County, Florida	526	61.8	3.8	(54.3–69.3)
Hernando County, Florida	487	69	3.4	(62.4–75.6)
Highlands County, Florida	518	67	3.2	(60.8–73.2)
Hillsborough County, Florida	506	68	3.2	(61.8–74.2)
Jefferson County, Florida	497	66.5	4.1	(58.6–74.4)
Lake County, Florida	606	76.9	2.8	(71.5–82.3)
Lee County, Florida	516	69.7	4	(61.8–77.6)
Leon County, Florida	496	68.3	3.4	(61.7–74.9)
Manatee County, Florida	524	68.6	3.5	(61.8–75.4)
Marion County, Florida	585	65.3	3.2	(59.1–71.5)
