County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	602	82	1.7	(78.6–85.3)
Mobile County, Alabama	678	78.1	2.1	(73.9–82.2)
Tuscaloosa County, Alabama	435	84.1	2.4	(79.3–88.8)
Maricopa County, Arizona	1,270	87	1.2	(84.6–89.3)
Pima County, Arizona	687	84.4	1.9	(80.6–88.1)
Pinal County, Arizona	380	85.6	2.6	(80.5–90.6)
Benton County, Arkansas	361	92.3	1.5	(89.3–95.2)
Pulaski County, Arkansas	558	85.1	2.2	(80.7–89.4)
Washington County, Arkansas	298	87.9	2.7	(82.6–93.1)
Alameda County, California	755	85.4	1.7	(82.0–88.7)
Contra Costa County, California	632	89.7	1.6	(86.5–92.8)
Los Angeles County, California	2,617	79.4	1	(77.4–81.3)
Orange County, California	1,445	84.5	1.3	(81.9–87.0)
Placer County, California	255	88.2	2.2	(83.8–92.5)
Riverside County, California	930	78.3	1.8	(74.7–81.8)
Sacramento County, California	751	85	1.6	(81.8–88.1)
San Bernardino County, California	947	82.9	1.6	(79.7–86.0)
San Diego County, California	1,695	85.6	1.1	(83.4–87.7)
San Francisco County, California	385	79.9	2.6	(74.8–84.9)
San Mateo County, California	383	84.5	2.4	(79.7–89.2)
Santa Clara County, California	874	85.4	1.6	(82.2–88.5)
Adams County, Colorado	806	87.4	1.5	(84.4–90.3)
Arapahoe County, Colorado	870	91.2	0.9	(89.4–92.9)
Denver County, Colorado	873	86.6	1.5	(83.6–89.5)
Douglas County, Colorado	578	95.8	0.8	(94.2–97.3)
El Paso County, Colorado	1,031	87.4	1.3	(84.8–89.9)
Jefferson County, Colorado	1,164	89.7	1.2	(87.3–92.0)
Larimer County, Colorado	560	92	1.6	(88.8–95.1)
Fairfield County, Connecticut	2,153	90.6	1	(88.6–92.5)
Hartford County, Connecticut	1,482	87.6	1.1	(85.4–89.7)
Middlesex County, Connecticut	262	89.1	2.2	(84.7–93.4)
New Haven County, Connecticut	1,656	88.5	1	(86.5–90.4)
Tolland County, Connecticut	252	88.1	2.5	(83.2–93.0)
Kent County, Delaware	1,254	82.8	1.2	(80.4–85.1)
New Castle County, Delaware	1,751	87.6	1	(85.6–89.5)
Sussex County, Delaware	1,239	86.3	1.2	(83.9–88.6)
District of Columbia, District of Columbia	3,909	89.4	0.7	(88.0–90.7)
Alachua County, Florida	532	90.1	1.7	(86.7–93.4)
Baker County, Florida	508	79.7	3	(73.8–85.5)
Bay County, Florida	544	85.2	1.8	(81.6–88.7)
Brevard County, Florida	527	82	2.3	(77.4–86.5)
Broward County, Florida	522	86	1.9	(82.2–89.7)
Citrus County, Florida	532	79	2.2	(74.6–83.3)
Clay County, Florida	485	84.9	1.9	(81.1–88.6)
Collier County, Florida	520	81.9	3.2	(75.6–88.1)
Columbia County, Florida	564	78.2	2.4	(73.4–82.9)
DeSoto County, Florida	502	74	3.6	(66.9–81.0)
Duval County, Florida	550	81.5	2	(77.5–85.4)
Escambia County, Florida	520	84.4	1.9	(80.6–88.1)
Gadsden County, Florida	510	73.6	3.7	(66.3–80.8)
Gilchrist County, Florida	417	80.1	3.3	(73.6–86.5)
Hardee County, Florida	526	76.2	3.2	(69.9–82.4)
Hernando County, Florida	489	78.7	2.4	(73.9–83.4)
Highlands County, Florida	520	75	3	(69.1–80.8)
Hillsborough County, Florida	501	85.2	2.1	(81.0–89.3)
Jefferson County, Florida	500	80.4	2.7	(75.1–85.6)
Lake County, Florida	604	83.6	1.7	(80.2–86.9)
Lee County, Florida	518	83.5	2.3	(78.9–88.0)
Leon County, Florida	492	89.3	1.7	(85.9–92.6)
Manatee County, Florida	524	86.2	1.7	(82.8–89.5)
Marion County, Florida	588	76.9	2.5	(72.0–81.8)
Martin County, Florida	520	87.3	1.6	(84.1–90.4)
Miami-Dade County, Florida	505	83.4	2	(79.4–87.3)
Monroe County, Florida	505	87.3	1.7	(83.9–90.6)
Nassau County, Florida	520	83.2	2.5	(78.3–88.1)
Orange County, Florida	1,007	81.5	1.8	(77.9–85.0)
Osceola County, Florida	570	80.4	2.6	(75.3–85.4)
Palm Beach County, Florida	553	85	2	(81.0–88.9)
Pasco County, Florida	540	81	2.2	(76.6–85.3)
Pinellas County, Florida	495	84.6	1.8	(81.0–88.1)
Polk County, Florida	519	80.6	2.3	(76.0–85.1)
St. Johns County, Florida	521	87.7	1.7	(84.3–91.0)
St. Lucie County, Florida	502	79.1	2.3	(74.5–83.6)
Santa Rosa County, Florida	492	83.7	2	(79.7–87.6)
Sarasota County, Florida	608	88.2	1.6	(85.0–91.3)
Seminole County, Florida	489	83.7	2.3	(79.1–88.2)
Volusia County, Florida	859	78.9	2.1	(74.7–83.0)
Wakulla County, Florida	536	78.4	3	(72.5–84.2)
Cobb County, Georgia	253	85.3	2.7	(80.0–90.5)
DeKalb County, Georgia	341	88.5	1.9	(84.7–92.2)
Fulton County, Georgia	330	93.6	1.3	(91.0–96.1)
Gwinnett County, Georgia	251	89.5	2.2	(85.1–93.8)
Hawaii County, Hawaii	1,480	85.1	1.2	(82.7–87.4)
Honolulu County, Hawaii	2,957	86.1	0.8	(84.5–87.6)
Kauai County, Hawaii	645	83.9	1.9	(80.1–87.6)
Maui County, Hawaii	1,466	86.7	1.3	(84.1–89.2)
Ada County, Idaho	865	88.4	1.3	(85.8–90.9)
Bonneville County, Idaho	522	86.8	1.7	(83.4–90.1)
Canyon County, Idaho	619	79.1	2.1	(74.9–83.2)
Kootenai County, Idaho	568	87.5	1.8	(83.9–91.0)
Nez Perce County, Idaho	381	82.1	2.2	(77.7–86.4)
Twin Falls County, Idaho	430	84.4	2.6	(79.3–89.4)
Cook County, Illinois	2,883	82.9	1	(80.9–84.8)
DuPage County, Illinois	256	89.6	2.2	(85.2–93.9)
Allen County, Indiana	585	83.7	2	(79.7–87.6)
Lake County, Indiana	997	79.7	2.1	(75.5–83.8)
Marion County, Indiana	1,459	82.1	1.6	(78.9–85.2)
Linn County, Iowa	494	90.1	1.5	(87.1–93.0)
Polk County, Iowa	766	91.5	1	(89.5–93.4)
Johnson County, Kansas	1,415	92.5	0.7	(91.1–93.8)
Sedgwick County, Kansas	1,436	85	1.3	(82.4–87.5)
Shawnee County, Kansas	623	82.9	1.9	(79.1–86.6)
Wyandotte County, Kansas	605	80.4	2.2	(76.0–84.7)
Jefferson County, Kentucky	409	81.9	2.3	(77.3–86.4)
Caddo Parish, Louisiana	443	78.4	2.3	(73.8–82.9)
East Baton Rouge Parish, Louisiana	719	80.4	2.1	(76.2–84.5)
Jefferson Parish, Louisiana	594	76.1	2.4	(71.3–80.8)
Orleans Parish, Louisiana	376	82.1	2.3	(77.5–86.6)
St. Tammany Parish, Louisiana	371	84.9	2.3	(80.3–89.4)
Androscoggin County, Maine	501	84.5	1.9	(80.7–88.2)
Cumberland County, Maine	1,388	90	1.1	(87.8–92.1)
Kennebec County, Maine	653	86.7	1.8	(83.1–90.2)
Penobscot County, Maine	687	83.7	1.7	(80.3–87.0)
Sagadahoc County, Maine	298	85.6	2.3	(81.0–90.1)
York County, Maine	938	87.2	1.4	(84.4–89.9)
