County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	601	79.3	2.7	(74.0–84.5)
Mobile County, Alabama	675	76.8	2.9	(71.1–82.4)
Tuscaloosa County, Alabama	433	79.7	3.3	(73.2–86.1)
Maricopa County, Arizona	1,300	86.8	1.5	(83.8–89.7)
Pima County, Arizona	698	86.6	2.5	(81.7–91.5)
Pinal County, Arizona	387	91.8	2	(87.8–95.7)
Benton County, Arkansas	360	88.1	2.9	(82.4–93.7)
Pulaski County, Arkansas	559	87.8	2.7	(82.5–93.0)
Washington County, Arkansas	297	81.5	3.9	(73.8–89.1)
Alameda County, California	757	90.1	1.5	(87.1–93.0)
Contra Costa County, California	631	89.8	1.7	(86.4–93.1)
Los Angeles County, California	2,614	77.3	1.2	(74.9–79.6)
Orange County, California	1,446	84.3	1.5	(81.3–87.2)
Placer County, California	255	88.7	3	(82.8–94.5)
Riverside County, California	932	77.7	2.1	(73.5–81.8)
Sacramento County, California	751	90	1.7	(86.6–93.3)
San Bernardino County, California	947	75.9	2.2	(71.5–80.2)
San Diego County, California	1,695	82.3	1.5	(79.3–85.2)
San Francisco County, California	385	95.9	1.2	(93.5–98.2)
San Mateo County, California	385	90.2	2.4	(85.4–94.9)
Santa Clara County, California	873	89.5	1.6	(86.3–92.6)
Adams County, Colorado	808	82.4	2.1	(78.2–86.5)
Arapahoe County, Colorado	872	88.2	1.8	(84.6–91.7)
Denver County, Colorado	875	84.6	2.1	(80.4–88.7)
Douglas County, Colorado	578	93	1.6	(89.8–96.1)
El Paso County, Colorado	1,029	84.7	1.8	(81.1–88.2)
Jefferson County, Colorado	1,167	87.5	1.8	(83.9–91.0)
Larimer County, Colorado	560	87.7	2.8	(82.2–93.1)
Fairfield County, Connecticut	2,180	91.4	1.1	(89.2–93.5)
Hartford County, Connecticut	1,502	89.9	1.4	(87.1–92.6)
Middlesex County, Connecticut	262	92.1	2.6	(87.0–97.1)
New Haven County, Connecticut	1,669	90.2	1.3	(87.6–92.7)
Tolland County, Connecticut	255	91.5	2.8	(86.0–96.9)
Kent County, Delaware	1,251	90.5	1.6	(87.3–93.6)
New Castle County, Delaware	1,748	90.6	1.2	(88.2–92.9)
Sussex County, Delaware	1,238	87.9	1.8	(84.3–91.4)
District of Columbia, District of Columbia	3,972	92.7	0.8	(91.1–94.2)
Alachua County, Florida	536	85.3	2.8	(79.8–90.7)
Baker County, Florida	508	82.2	3.3	(75.7–88.6)
Bay County, Florida	543	84.1	2.4	(79.3–88.8)
Brevard County, Florida	527	82.4	3.1	(76.3–88.4)
Broward County, Florida	524	78.7	2.8	(73.2–84.1)
Citrus County, Florida	535	79.7	2.8	(74.2–85.1)
Clay County, Florida	486	83.6	2.7	(78.3–88.8)
Collier County, Florida	519	80.7	3.6	(73.6–87.7)
Columbia County, Florida	565	77.6	2.9	(71.9–83.2)
DeSoto County, Florida	502	64.7	4.6	(55.6–73.7)
Duval County, Florida	547	87.7	2.1	(83.5–91.8)
Escambia County, Florida	520	80.3	3.1	(74.2–86.3)
Gadsden County, Florida	510	79.8	2.7	(74.5–85.0)
Gilchrist County, Florida	417	NA†	NA	NA
Hardee County, Florida	530	67	4	(59.1–74.8)
Hernando County, Florida	490	84.9	2.8	(79.4–90.3)
Highlands County, Florida	520	79.8	3	(73.9–85.6)
Hillsborough County, Florida	506	84.5	2.5	(79.6–89.4)
Jefferson County, Florida	502	78.2	3.6	(71.1–85.2)
Lake County, Florida	606	88.1	2.4	(83.3–92.8)
Lee County, Florida	515	76.9	4.3	(68.4–85.3)
Leon County, Florida	498	88.4	2.4	(83.6–93.1)
Manatee County, Florida	525	82.7	3.5	(75.8–89.5)
Marion County, Florida	589	80.3	2.8	(74.8–85.7)
Martin County, Florida	519	87.2	2.4	(82.4–91.9)
Miami-Dade County, Florida	505	77.2	2.9	(71.5–82.8)
Monroe County, Florida	503	77.9	3.2	(71.6–84.1)
Nassau County, Florida	521	NA	NA	NA
Orange County, Florida	1,002	82.2	1.8	(78.6–85.7)
Osceola County, Florida	570	75.9	3	(70.0–81.7)
Palm Beach County, Florida	551	89.5	2.2	(85.1–93.8)
Pasco County, Florida	540	86.2	3.1	(80.1–92.2)
Pinellas County, Florida	497	86.8	2.6	(81.7–91.8)
Polk County, Florida	522	76.2	3	(70.3–82.0)
St. Johns County, Florida	521	92	1.7	(88.6–95.3)
St. Lucie County, Florida	504	78.3	3	(72.4–84.1)
Santa Rosa County, Florida	494	85.1	2.3	(80.5–89.6)
Sarasota County, Florida	609	81.4	2.8	(75.9–86.8)
Seminole County, Florida	489	81.1	2.6	(76.0–86.1)
Volusia County, Florida	861	82.1	2.3	(77.5–86.6)
Wakulla County, Florida	536	81.4	3.3	(74.9–87.8)
Cobb County, Georgia	253	95.6	1.3	(93.0–98.1)
DeKalb County, Georgia	342	83.2	3.1	(77.1–89.2)
Fulton County, Georgia	328	87.6	3	(81.7–93.4)
Gwinnett County, Georgia	251	88.1	3.4	(81.4–94.7)
Hawaii County, Hawaii	1,479	91.4	1.2	(89.0–93.7)
Honolulu County, Hawaii	2,958	93.9	0.8	(92.3–95.4)
Kauai County, Hawaii	645	90.7	2	(86.7–94.6)
Maui County, Hawaii	1,462	92.5	1.1	(90.3–94.6)
Ada County, Idaho	861	85	2	(81.0–88.9)
Bonneville County, Idaho	522	85.1	2.3	(80.5–89.6)
Canyon County, Idaho	619	73.7	2.7	(68.4–78.9)
Kootenai County, Idaho	570	82.2	2.8	(76.7–87.6)
Nez Perce County, Idaho	381	85.6	2.8	(80.1–91.0)
Twin Falls County, Idaho	434	80.5	3.1	(74.4–86.5)
Cook County, Illinois	2,882	83.6	1.3	(81.0–86.1)
DuPage County, Illinois	256	91.3	2.5	(86.4–96.2)
Allen County, Indiana	585	86.1	2	(82.1–90.0)
Lake County, Indiana	999	81.7	2.5	(76.8–86.6)
Marion County, Indiana	1,463	83.3	1.8	(79.7–86.8)
Linn County, Iowa	494	92	1.8	(88.4–95.5)
Polk County, Iowa	765	91.5	1.4	(88.7–94.2)
Johnson County, Kansas	1,416	93	1.1	(90.8–95.1)
Sedgwick County, Kansas	1,435	87.6	1.4	(84.8–90.3)
Shawnee County, Kansas	624	88	2.2	(83.6–92.3)
Wyandotte County, Kansas	607	72.9	3.1	(66.8–78.9)
Jefferson County, Kentucky	410	84.4	2.6	(79.3–89.4)
Caddo Parish, Louisiana	446	79	2.9	(73.3–84.6)
East Baton Rouge Parish, Louisiana	722	81.9	2.3	(77.3–86.4)
Jefferson Parish, Louisiana	595	80.3	2.3	(75.7–84.8)
Orleans Parish, Louisiana	377	82.3	2.9	(76.6–87.9)
St. Tammany Parish, Louisiana	372	82.7	3.8	(75.2–90.1)
Androscoggin County, Maine	500	88.8	2	(84.8–92.7)
Cumberland County, Maine	1,385	91.1	1.5	(88.1–94.0)
Kennebec County, Maine	652	88.6	2	(84.6–92.5)
Penobscot County, Maine	687	89.8	1.5	(86.8–92.7)
Sagadahoc County, Maine	299	88.3	2.5	(83.4–93.2)
York County, Maine	942	90.1	1.4	(87.3–92.8)
Anne Arundel County, Maryland	601	91.4	1.9	(87.6–95.1)
Baltimore County, Maryland	1,052	91.2	1.4	(88.4–93.9)
Cecil County, Maryland	270	90.1	2.4	(85.3–94.8)
Charles County, Maryland	349	92.8	1.8	(89.2–96.3)
Frederick County, Maryland	577	91	1.9	(87.2–94.7)
Harford County, Maryland	280	93.5	1.8	(89.9–97.0)
Howard County, Maryland	341	95.1	1.7	(91.7–98.4)
Montgomery County, Maryland	1,063	89.4	1.7	(86.0–92.7)
Prince George´s County, Maryland	790	87.8	1.9	(84.0–91.5)
Queen Anne´s County, Maryland	294	95.6	1.7	(92.2–98.9)
Washington County, Maryland	407	83.4	3	(77.5–89.2)
Baltimore city, Maryland	533	84.2	2.4	(79.4–88.9)
Bristol County, Massachusetts	2,928	94.7	1.1	(92.5–96.8)
Essex County, Massachusetts	2,134	94	1.4	(91.2–96.7)
Hampden County, Massachusetts	1,591	92.5	2	(88.5–96.4)
Hampshire County, Massachusetts	275	95.6	2.5	(90.3–100.0
Middlesex County, Massachusetts	3,023	96.8	0.7	(95.4–98.1)
Norfolk County, Massachusetts	860	97.2	0.7	(95.8–98.5)
Plymouth County, Massachusetts	687	95.8	1.6	(92.6–98.9)
Suffolk County, Massachusetts	1,760	93.8	1.2	(91.4–96.1)
Worcester County, Massachusetts	2,098	95.9	0.7	(94.5–97.2)
Kent County, Michigan	444	90.6	2.1	(86.4–94.7)
Macomb County, Michigan	515	89.9	2.2	(85.5–94.2)
Oakland County, Michigan	933	88.5	1.7	(85.1–91.8)
Wayne County, Michigan	1,909	82	1.8	(78.4–85.5)
