County	Sample size	%	SE	(95% CI)
Jefferson County, Alabama	592	66.8	2.6	(61.7–71.8)
Mobile County, Alabama	678	61.2	2.9	(55.5–66.8)
Tuscaloosa County, Alabama	432	61.3	3.7	(54.0–68.5)
Maricopa County, Arizona	1,300	69.8	2	(65.8–73.7)
Pima County, Arizona	698	67.7	3.1	(61.6–73.7)
Pinal County, Arizona	382	71.1	3.6	(64.0–78.1)
Benton County, Arkansas	361	69.8	3.5	(62.9–76.6)
Pulaski County, Arkansas	557	75.6	3.1	(69.5–81.6)
Washington County, Arkansas	298	66.9	4.3	(58.4–75.3)
Alameda County, California	757	75.2	2.1	(71.0–79.3)
Contra Costa County, California	632	78.1	2.3	(73.5–82.6)
Los Angeles County, California	2,617	65.1	1.3	(62.5–67.6)
Orange County, California	1,446	72.2	1.7	(68.8–75.5)
Placer County, California	254	81.8	3.3	(75.3–88.2)
Riverside County, California	932	67.1	2.1	(62.9–71.2)
Sacramento County, California	752	73.5	2.2	(69.1–77.8)
San Bernardino County, California	947	65.1	2.3	(60.5–69.6)
San Diego County, California	1,695	74.1	1.5	(71.1–77.0)
San Francisco County, California	386	76.5	2.8	(71.0–81.9)
San Mateo County, California	384	77.3	3	(71.4–83.1)
Santa Clara County, California	875	80.4	1.9	(76.6–84.1)
Adams County, Colorado	803	63.7	2.5	(58.8–68.6)
Arapahoe County, Colorado	869	77.1	1.7	(73.7–80.4)
Denver County, Colorado	870	70.9	2.2	(66.5–75.2)
Douglas County, Colorado	576	78.6	2.6	(73.5–83.6)
El Paso County, Colorado	1,029	69.9	2	(65.9–73.8)
Jefferson County, Colorado	1,168	72.8	2	(68.8–76.7)
Larimer County, Colorado	559	73.6	3.1	(67.5–79.6)
Fairfield County, Connecticut	2,178	83.1	1.5	(80.1–86.0)
Hartford County, Connecticut	1,496	81.1	1.7	(77.7–84.4)
Middlesex County, Connecticut	262	88.2	2.5	(83.3–93.1)
New Haven County, Connecticut	1,673	80.1	1.6	(76.9–83.2)
Tolland County, Connecticut	254	83.2	3.3	(76.7–89.6)
Kent County, Delaware	1,249	67.1	2	(63.1–71.0)
New Castle County, Delaware	1,748	78.3	1.3	(75.7–80.8)
Sussex County, Delaware	1,238	69	2	(65.0–72.9)
District of Columbia, District of Columbia	3,962	74.1	1.2	(71.7–76.4)
Alachua County, Florida	534	66	3.4	(59.3–72.6)
